,presence_freq_y=1,presence_freq_y=-1,difference (y=1-y=-1),chi2_stat,p_value,FDR_q
CHEMONTID:0001152,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0001248,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEBI:13790,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0004292,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEBI:26440,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0004537,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0000308,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0000224,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0003103,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEBI:36615,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEBI:50265,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0001880,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0000480,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0001093,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0001553,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0003097,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0002228,0.10869565217391304,0.08914325355532432,0.01955239861858872,0.21251893171434244,0.644800214534296,0.9059691280103913
CHEMONTID:0000517,0.043478260869565216,0.03156434269857787,0.011913918170987345,0.2090460166145666,0.6475161560098981,0.9059691280103913
CHEBI:35790,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0000164,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:48436,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0001935,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0001286,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0002966,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:77727,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0000444,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0003905,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0000463,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:51081,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:48513,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:35156,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0003101,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0000210,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:70862,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0004103,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0001989,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:23403,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0000145,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:36387,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0002863,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEBI:36093,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0003072,0.0,0.004509191814082553,-0.004509191814082553,0.20834754796934116,0.6480656732842678,0.9059691280103913
CHEMONTID:0003305,0.021739130434782608,0.01387443635102324,0.007864694083759368,0.20291047561903278,0.6523817796095899,0.9059691280103913
CHEMONTID:0001167,0.06521739130434782,0.08359347901491503,-0.0183760877105672,0.200213722141314,0.6545483909521062,0.9059691280103913
CHEBI:39447,0.06521739130434782,0.08359347901491503,-0.0183760877105672,0.200213722141314,0.6545483909521062,0.9059691280103913
CHEBI:29348,0.021739130434782608,0.03364550815123136,-0.01190637771644875,0.19847929679209178,0.6559511238848386,0.9059691280103913
CHEMONTID:0004707,0.043478260869565216,0.03191120360735345,0.011567057262211765,0.19502338941814712,0.6587681708411144,0.9059691280103913
CHEBI:38099,0.0,0.004162330905306972,-0.004162330905306972,0.19225488248050382,0.6610464874538203,0.9059691280103913
CHEBI:46809,0.0,0.004162330905306972,-0.004162330905306972,0.19225488248050382,0.6610464874538203,0.9059691280103913
CHEMONTID:0003575,0.0,0.004162330905306972,-0.004162330905306972,0.19225488248050382,0.6610464874538203,0.9059691280103913
CHEBI:73539,0.0,0.004162330905306972,-0.004162330905306972,0.19225488248050382,0.6610464874538203,0.9059691280103913
